Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH
I1,21-09-2002,Milan,Perugia,3,0,H,1,0,H,1.286,4.5,8,1.33,4.25,11,1.3,4.2,8,,,,1.29,4.33,9.5,1.3,4.333,9.5,1.3,4,9.5,1.71,1.95,S. Farina,21,7,11,3,7,16,3,4,1,2,0,0,1.2,5,12,1.16,6.4,12.5,1.18,5.5,14,1.22,4.8,9.5,1.17,5.5,12,1.2,5.75,13,1.2,5,11,1.2
I1,22-09-2002,Atalanta,Bologna,2,2,D,1,1,D,2.2,3,3,2.25,2.95,3.3,2.2,2.8,3.1,,,,2.2,3,3.1,2.2,3.1,3,2.25,2.8,3.1,1.75,1.9,G. Paparesta,24,15,13,6,15,14,9,6,2,1,0,0,3.5,3,2,3.65,3.05,2,3.8,3,2,3.4,2.9,2,3.75,3,1.91,4,3,2,3.6,2.87,2,3.75
I1,22-09-2002,Chievo,Brescia,1,2,A,0,0,D,1.667,3.25,4.5,1.7,3.2,4.9,1.75,3.2,4,,,,1.73,3.2,4.5,1.727,3.2,4.6,1.61,3.1,5.5,1.7,1.93,P. Bertini,9,6,3,3,12,16,6,6,2,2,1,0,2.25,3,3,2.15,2.9,3.45,2.2,3,3.2,2.2,2.8,3.1,2.25,2.88,3,2.25,3,3.3,2.3,3,2.8,2.2
I1,22-09-2002,Parma,Como,2,0,H,1,0,H,1.5,3.4,6,1.5,3.4,7,1.6,3.3,4.8,,,,1.5,3.5,6,1.5,3.5,6.5,1.44,3.4,7,1.7,1.9,O. Girardi,12,5,8,2,16,15,9,2,1,1,0,0,2.2,2.87,3.2,2.25,2.75,3.45,2.2,2.8,3.45,2.1,2.8,3.4,2.25,2.88,3,2.3,2.88,3.2,2.15,2.8,3.3,2.25
I1,22-09-2002,Piacenza,Udinese,2,0,H,1,0,H,2.1,3,3.2,2.23,2.9,3.3,2.1,2.8,3.3,,,,2.2,3,3.1,2.2,3,3.2,2.1,2.87,3.3,1.75,1.85,A. Dattilo,9,13,1,8,16,23,3,6,1,0,0,0,5.5,3.75,1.5,6.75,3.75,1.45,7,3.75,1.45,5.2,3.3,1.55,7,3.75,1.4,7.5,3.6,1.5,6.5,3.6,1.44,8.5
I1,22-09-2002,Reggina,Inter,1,2,A,0,1,A,4,3,1.833,5,3.2,1.82,3.6,3,1.9,,,,4.2,3,1.83,4.2,3.1,1.85,4,3,1.83,1.88,1.75,A. Romeo,9,6,6,4,18,9,9,2,2,3,0,1,1.72,3.2,4.5,1.75,3.1,4.9,1.67,3.15,5.4,1.8,2.9,4.2,1.67,3.25,4.5,1.75,3.1,4.8,1.72,3.2,4.33,1.73
I1,22-09-2002,Roma,Modena,1,2,A,1,1,D,1.222,5,9,1.25,4.75,11,1.25,4.5,9,,,,1.25,4.5,11,1.25,4.6,11,1.22,4.5,12,1.65,1.95,P. Rodomonti,8,12,4,7,19,20,7,7,3,3,0,0,2.5,2.87,2.75,2.7,2.8,2.7,2.65,2.9,2.65,2.4,2.8,2.8,2.5,2.88,2.62,2.62,2.88,2.7,2.6,2.8,2.6,2.5
I1,22-09-2002,Torino,Lazio,0,1,A,0,0,D,2.4,3,2.7,2.55,2.87,2.85,2.4,2.8,2.8,,,,2.5,3,2.6,2.5,3,2.7,2.5,2.8,2.7,1.8,1.8,D. Messina,13,10,4,5,15,20,7,4,0,4,0,0,1.83,3,4.33,1.77,3.2,4.5,1.8,3.2,4.25,1.75,3,4.4,1.8,3.2,4,1.83,3.1,4.33,1.83,3,4,1.83
I1,28-09-2002,Juventus,Parma,2,2,D,0,0,D,1.4,3.6,7.5,1.42,3.8,7.75,1.45,3.7,5.6,1.4,3.75,7,1.44,3.6,7,1.44,3.75,7,1.44,3.5,7,1.77,1.9,L. Palanca,16,11,7,7,22,24,5,5,1,3,0,1,1.53,3.5,5.5,1.5,3.6,6.5,1.45,3.6,7.5,1.55,3.3,5.2,1.5,3.25,6.5,1.5,3.5,7,1.5,3.4,6,1.5
I1,28-09-2002,Lazio,Milan,1,1,D,0,1,A,2.875,3,2.25,3.1,3.2,2.32,2.8,2.8,2.4,2.75,3,2.38,3,3,2.25,2.875,3.1,2.25,2.8,2.9,2.37,1.77,1.9,M. Saccani,4,7,2,4,14,19,3,6,3,2,0,0,2.5,2.87,2.75,2.5,2.8,2.9,2.55,2.85,2.8,2.4,2.8,2.8,2.5,2.88,2.62,2.5,2.88,2.88,2.5,2.8,2.75,2.5
I1,29-09-2002,Bologna,Piacenza,1,0,H,0,0,D,1.727,3.1,4.5,1.92,3.1,3.9,1.9,3,3.6,1.73,3.2,4.33,1.8,3,4.33,1.83,3,4.33,1.8,2.9,4.5,1.8,1.82,T. Pieri,12,7,8,5,16,19,5,3,1,1,0,0,1.22,5.5,13,1.2,5.2,14,1.2,5.2,13,1.22,4.8,9.5,1.2,5,11,1.222,5.5,12,1.22,5,9.5,1.22
I1,29-09-2002,Brescia,Roma,2,3,A,1,2,A,2.8,3,2.3,3.17,3,2.24,2.8,2.9,2.3,2.75,3,2.38,3,3,2.25,3.1,3,2.2,3.1,2.8,2.25,1.9,1.7,M. Bergonzi,27,16,12,3,22,19,10,7,1,0,0,0,1.8,3.1,5,1.75,3.15,4.7,1.75,3.1,4.75,1.85,2.8,4.2,1.67,3.2,5,1.8,3.2,4.333,1.7,3,5,1.8
I1,29-09-2002,Como,Reggina,1,1,D,1,0,H,2.1,3,3.2,2.11,3,3.6,2,2.8,3.6,2.1,3,3.2,2.2,3,3.1,2.2,3,3.2,2,2.9,3.6,1.9,1.7,A. Giannoccaro,16,8,8,5,20,25,8,4,1,4,0,0,2.1,2.9,3.8,2.25,2.85,3.25,2.15,2.9,3.4,2.1,2.8,3.3,2.1,2.8,3.5,2.2,2.875,3.4,2,2.87,3.6,2.1
I1,29-09-2002,Inter,Chievo,2,1,H,1,1,D,1.5,3.4,6,1.51,3.75,5.75,1.5,3.6,5.2,1.44,3.6,6.5,,,,1.5,3.5,6.5,1.5,3.4,6,1.7,1.95,P. Dondarini,11,14,6,9,24,21,4,3,0,3,0,0,2.2,3,3.4,2.25,2.9,3.25,2.2,2.9,3.3,2.2,2.7,3.3,2.25,3,2.88,2.3,2.875,3.2,2.2,2.8,3.2,2.25
I1,29-09-2002,Modena,Torino,2,1,H,1,0,H,2.375,3,3,2.33,2.85,3.15,2.2,2.9,3,2.25,3,2.88,2.25,3,3,2.3,3,3,2.25,2.9,3,1.9,1.7,P. Tagliavento,17,12,7,5,18,16,8,6,2,2,0,0,1.16,6.5,15,1.11,7.15,17,1.13,6.5,17,1.17,5.5,11,1.14,6,13,1.142,6,17,1.14,6,12,1.15
I1,29-09-2002,Perugia,Empoli,1,3,A,1,2,A,1.833,3,4,1.79,3.2,4.5,1.8,3,4,1.8,3.2,4,1.83,3.1,4,1.75,3.1,4.5,1.72,3.2,4.33,1.75,1.9,P. Mazzoleni,13,5,6,1,23,23,7,1,0,0,0,1,1.61,3.4,6,1.65,3.15,5.75,1.57,3.25,6.5,1.6,3.3,4.8,1.44,3.4,7,1.571,3.4,6,1.53,3.25,6,1.57
I1,29-09-2002,Udinese,Atalanta,1,0,H,0,0,D,2.1,3,3.2,2.13,3,3.4,2.2,2.9,3,2.1,3,3.2,2.1,3.2,3.1,2.1,3.2,3.2,2.1,2.8,3.4,1.75,1.85,M. Trefoloni,6,8,4,5,17,13,5,3,2,2,0,0,3.4,3,2.2,3.1,3.1,2.2,3.2,3.1,2.15,2.8,2.9,2.3,3.1,2.8,2.25,3.4,3,2.2,3,3,2.2,3.2
